25,49,1,1,1,1,1,1,1,1,1,1,1,0,0
45,34,1,1,1,1,1,1,1,1,1,1,1,1,0
39,11,1,1,1,1,1,1,1,1,1,1,1,2,0
35,100,1,1,1,1,1,1,1,1,1,1,1,3,0
35,45,1,1,1,1,1,1,1,1,1,1,1,4,1
37,29,1,1,1,1,1,1,1,1,1,1,1,5,0
53,72,1,1,1,1,1,1,1,1,1,1,1,6,0
50,22,1,1,1,1,1,1,1,1,1,1,1,7,1
35,81,1,1,1,1,1,1,1,1,1,1,1,8,0
34,180,1,1,1,1,1,1,1,1,1,1,1,9,0
65,105,1,1,1,1,1,1,1,1,1,1,1,10,0
29,45,1,1,1,1,1,1,1,1,1,1,1,11,0
48,114,1,1,1,1,1,1,1,1,1,1,1,12,0
59,40,1,1,1,1,1,1,1,1,1,1,1,13,0
67,112,1,1,1,1,1,1,1,1,1,1,1,14,0
60,22,1,1,1,1,1,1,1,1,1,1,1,15,1
38,130,1,1,1,1,1,1,1,1,1,1,1,16,0
42,81,1,1,1,1,1,1,1,1,1,1,1,17,0
46,193,1,1,1,1,1,1,1,1,1,1,1,18,0
55,21,1,1,1,1,1,1,1,1,1,1,1,19,1
56,25,1,1,1,1,1,1,1,1,1,1,1,20,0
57,63,1,1,1,1,1,1,1,1,1,1,1,21,0
29,62,1,1,1,1,1,1,1,1,1,1,1,22,0
44,43,1,1,1,1,1,1,1,1,1,1,1,23,0
36,152,1,1,1,1,1,1,1,1,1,1,1,24,1
43,29,1,1,1,1,1,1,1,1,1,1,1,25,0
40,83,1,1,1,1,1,1,1,1,1,1,1,26,0
46,158,1,1,1,1,1,1,1,1,1,1,1,27,1
56,48,1,1,1,1,1,1,1,1,1,1,1,28,1
38,119,1,1,1,1,1,1,1,1,1,1,1,29,1
59,35,1,1,1,1,1,1,1,1,1,1,1,30,0
40,29,1,1,1,1,1,1,1,1,1,1,1,31,0
53,41,1,1,1,1,1,1,1,1,1,1,1,32,0
30,18,1,1,1,1,1,1,1,1,1,1,1,33,0
31,50,1,1,1,1,1,1,1,1,1,1,1,34,0
48,81,1,1,1,1,1,1,1,1,1,1,1,35,0
59,121,1,1,1,1,1,1,1,1,1,1,1,36,1
51,71,1,1,1,1,1,1,1,1,1,1,1,37,0
42,141,1,1,1,1,1,1,1,1,1,1,1,38,0
38,80,1,1,1,1,1,1,1,1,1,1,1,39,0
57,84,1,1,1,1,1,1,1,1,1,1,1,40,0
34,60,1,1,1,1,1,1,1,1,1,1,1,41,0
32,132,1,1,1,1,1,1,1,1,1,1,1,42,0
39,45,1,1,1,1,1,1,1,1,1,1,1,43,0
46,104,1,1,1,1,1,1,1,1,1,1,1,44,1
57,52,1,1,1,1,1,1,1,1,1,1,1,45,1
39,43,1,1,1,1,1,1,1,1,1,1,1,46,0
